ground truth; prediction; ground truth position; georef success; avg time per sheet; times; scores; number of detected keypoints; template scores; registration time; command; percent segmented; mahalanobis; Lowe's test ratio; index rank
258; 258; 0; False; 0.07; [0.071, 0.068999, 0.06779, 0.067999, 0.071996, 0.071085, 0.077998, 0.073003, 0.073997, 0.067802, 0.08, 0.084729, 0.067996, 0.061995, 0.055999, 0.056998, 0.06129, 0.062001, 0.059999, 0.065269]; [3, 36, 1, 1, 2, 2, 1, 3, 3, 2, 1, 4, 5, 1, 4, 4, 2, 6, 3, 2]; 162; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 4,93; 22.84; 0.17; 1
259; 259; 0; False; 0.06; [0.060988, 0.056999, 0.061668, 0.060703, 0.054003, 0.054999, 0.055, 0.056276, 0.059999, 0.060001, 0.050998, 0.060145, 0.056005, 0.055001, 0.055001, 0.055321, 0.055983, 0.055001, 0.055006, 0.050999]; [2, 3, 1, 3, 2, 1, 3, 13, 2, 4, 4, 3, 2, 2, 3, 2, 2, 3, 4, 2]; 131; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 4,11; 11.58; 0.31; 7
319; 319; 0; False; 0.03; [0.033]; [89]; 195; [0.0]; -1.00; ; 8,44; -1.00; -1.00; 0
343; 343; 0; False; 0.06; [0.061004, 0.062, 0.057002, 0.055, 0.060002, 0.068002, 0.058434, 0.055028, 0.058999, 0.065999, 0.058509, 0.055117, 0.054999, 0.057001, 0.053004, 0.058846, 0.053, 0.056, 0.073001, 0.075006]; [2, 21, 2, 3, 1, 4, 3, 2, 3, 4, 4, 3, 2, 2, 2, 4, 5, 4, 1, 3]; 145; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 5,66; 16.23; 0.24; 1
524; 524; 0; False; 0.06; [0.064996]; [61]; 175; [0.0]; -1.00; ; 6,17; -1.00; -1.00; 0
539; 539; 0; False; 0.07; [0.065645]; [44]; 157; [0.0]; -1.00; ; 1,46; -1.00; -1.00; 0
553; 553; 0; False; 0.05; [0.058002, 0.058632, 0.056995, 0.053002, 0.050998, 0.052997, 0.05545, 0.054, 0.049999, 0.051996, 0.051999, 0.057845, 0.055001, 0.051997, 0.057005, 0.056427, 0.054001, 0.054, 0.05, 0.055224]; [50, 4, 7, 4, 3, 16, 3, 3, 4, 3, 11, 4, 5, 3, 7, 6, 6, 3, 7, 8]; 97; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,25; 13.30; 0.32; 0
554; 554; 0; False; 0.07; [0.067561]; [37]; 180; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
568; 568; 0; False; 0.06; [0.057519]; [37]; 193; [0.0]; -1.00; ; 2,16; -1.00; -1.00; 0
570; 570; 0; False; 0.06; [0.074461, 0.056015, 0.059999, 0.0588, 0.050938, 0.057001, 0.058999, 0.057, 0.055385, 0.0573, 0.061995, 0.053003, 0.058291, 0.057005, 0.06, 0.059004, 0.057998, 0.062998, 0.05315, 0.057001]; [45, 10, 4, 1, 9, 3, 5, 3, 5, 3, 3, 3, 2, 4, 3, 5, 4, 3, 3, 2]; 121; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,04; 18.47; 0.22; 0
