#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
Karte_des_Deutschen_Reiches_-_Karte_des_Deutschen_Reiches_-_529_-_Lohr_(1906).png,100997659, "{}",4,0,"{""name"":""point"",""cx"":602,""cy"":757}","{}"
Karte_des_Deutschen_Reiches_-_Karte_des_Deutschen_Reiches_-_529_-_Lohr_(1906).png,100997659, "{}",4,1,"{""name"":""point"",""cx"":6798,""cy"":738}","{}"
Karte_des_Deutschen_Reiches_-_Karte_des_Deutschen_Reiches_-_529_-_Lohr_(1906).png,100997659, "{}",4,2,"{""name"":""point"",""cx"":6843,""cy"":5619}","{}"
Karte_des_Deutschen_Reiches_-_Karte_des_Deutschen_Reiches_-_529_-_Lohr_(1906).png,100997659, "{}",4,3,"{""name"":""point"",""cx"":600,""cy"":5634}","{}"
012_-_Lügumkloster_(1881).jpg,16923338,"{}",4,0,"{""name"":""point"",""cx"":989,""cy"":719}","{}"
012_-_Lügumkloster_(1881).jpg,16923338,"{}",4,2,"{""name"":""point"",""cx"":6591,""cy"":5556}","{}"
012_-_Lügumkloster_(1881).jpg,16923338,"{}",4,3,"{""name"":""point"",""cx"":982,""cy"":5570}","{}"
012_-_Lügumkloster_(1881).jpg,16923338,"{}",4,1,"{""name"":""point"",""cx"":6575,""cy"":705}","{}"
Karte_des_Deutschen_Reiches_-_001_-_Nimmersatt_-_002_-_Schattern_(1880).jpg,14743106,"{}",4,3,"{""name"":""point"",""cx"":1063,""cy"":5571}","{}"
Karte_des_Deutschen_Reiches_-_001_-_Nimmersatt_-_002_-_Schattern_(1880).jpg,14743106,"{}",4,2,"{""name"":""point"",""cx"":6537,""cy"":5569}","{}"
Karte_des_Deutschen_Reiches_-_001_-_Nimmersatt_-_002_-_Schattern_(1880).jpg,14743106,"{}",4,1,"{""name"":""point"",""cx"":6494,""cy"":689}","{}"
Karte_des_Deutschen_Reiches_-_001_-_Nimmersatt_-_002_-_Schattern_(1880).jpg,14743106,"{}",4,0,"{""name"":""point"",""cx"":1060,""cy"":701}","{}"
Karte_des_Deutschen_Reiches_-_003_-_Memel_(1906).jpg,11167359,"{}",4,0,"{""name"":""point"",""cx"":1010,""cy"":750}","{}"
Karte_des_Deutschen_Reiches_-_003_-_Memel_(1906).jpg,11167359,"{}",4,1,"{""name"":""point"",""cx"":6573,""cy"":747}","{}"
Karte_des_Deutschen_Reiches_-_003_-_Memel_(1906).jpg,11167359,"{}",4,2,"{""name"":""point"",""cx"":6608,""cy"":5655}","{}"
Karte_des_Deutschen_Reiches_-_003_-_Memel_(1906).jpg,11167359,"{}",4,3,"{""name"":""point"",""cx"":1004,""cy"":5622}","{}"
Karte_des_Deutschen_Reiches_-_004_-_Paaschken_(1880).jpg,17132485,"{}",4,0,"{""name"":""point"",""cx"":1056,""cy"":784}","{}"
Karte_des_Deutschen_Reiches_-_004_-_Paaschken_(1880).jpg,17132485,"{}",4,1,"{""name"":""point"",""cx"":6549,""cy"":782}","{}"
Karte_des_Deutschen_Reiches_-_004_-_Paaschken_(1880).jpg,17132485,"{}",4,2,"{""name"":""point"",""cx"":6549,""cy"":5627}","{}"
Karte_des_Deutschen_Reiches_-_004_-_Paaschken_(1880).jpg,17132485,"{}",4,3,"{""name"":""point"",""cx"":1012,""cy"":5624}","{}"
Karte_des_Deutschen_Reiches_-_005_-_Hvidding_(1881).jpg,16020812,"{}",4,0,"{""name"":""point"",""cx"":1004,""cy"":762}","{}"
Karte_des_Deutschen_Reiches_-_005_-_Hvidding_(1881).jpg,16020812,"{}",4,1,"{""name"":""point"",""cx"":6448,""cy"":742}","{}"
Karte_des_Deutschen_Reiches_-_005_-_Hvidding_(1881).jpg,16020812,"{}",4,2,"{""name"":""point"",""cx"":6476,""cy"":5564}","{}"
Karte_des_Deutschen_Reiches_-_005_-_Hvidding_(1881).jpg,16020812,"{}",4,3,"{""name"":""point"",""cx"":1001,""cy"":5571}","{}"
Karte_des_Deutschen_Reiches_-_006_-_Gramm_(1880).jpg,16932824,"{}",4,0,"{""name"":""point"",""cx"":999,""cy"":750}","{}"
