Karte_des_Deutschen_Reiches_-_001_-_Nimmersatt_-_002_-_Schattern_(1880).jpg,1-2
Karte_des_Deutschen_Reiches_-_003_-_Memel_(1906).jpg,3
Karte_des_Deutschen_Reiches_-_004_-_Paaschken_(1880).jpg,4
Karte_des_Deutschen_Reiches_-_005_-_Hvidding_(1881).jpg,5
Karte_des_Deutschen_Reiches_-_006_-_Gramm_(1880).jpg,6
Karte_des_Deutschen_Reiches_-_007_-_Hadersleben_(1880).jpg,7
Karte_des_Deutschen_Reiches_-_008_-_Kinten_(1880).jpg,8
Karte_des_Deutschen_Reiches_-_009_-_Heydekrug_(1880).jpg,9
Karte_des_Deutschen_Reiches_-_010_-_Medischkehmen_-_018_-_Tilsit_(1861).jpg,10-18
Karte_des_Deutschen_Reiches_-_011_-_Röm_(1881).jpg,11
012_-_Lügumkloster_(1881).jpg,12
Karte_des_Deutschen_Reiches_-_168_Ortelsburg_(1880).jpg,168
Karte_des_Deutschen_Reiches_-_173_-_Aurich_(1903).jpg,173
Karte_des_Deutschen_Reiches_-_259_-_Diepholz_(1903).jpg,259
Karte_des_Deutschen_Reiches_-_327_-_Cleve_(1904).jpg,327
Karte_des_Deutschen_Reiches_-_328_-_Bocholt_(1901).jpg,328
Karte_des_Deutschen_Reiches_-_329_-_Coesfeld_(1901).jpg,329
Karte_des_Deutschen_Reiches_-_330_-_Münster_(1902).jpg,330
Karte_des_Deutschen_Reiches_-_331_-_Warendorf_(1902).jpg,331
Karte_des_Deutschen_Reiches_-_332_-_Gütersloh_(1902).jpg,332
Karte_des_Deutschen_Reiches_-_333_-_Detmold_(1905).jpg,333
Karte_des_Deutschen_Reiches_-_352_-_Geldern_(1902).jpg,352
Karte_des_Deutschen_Reiches_-_353_-_Wesel_(1901).jpg,353
Karte_des_Deutschen_Reiches_-_354_-_Recklinghausen_(1901).jpg,354
Karte_des_Deutschen_Reiches_-_355_-_Dortmund_(1892).jpg,355
Karte_des_Deutschen_Reiches_-_356_-_Soest_(1902).jpg,356
Karte_des_Deutschen_Reiches_-_357_-_Paderborn_(1902).jpg,357
Karte_des_Deutschen_Reiches_-_358_-_Brakel_(1905).jpg,358
Karte_des_Deutschen_Reiches_-_377_-_Kaldenkirchen_(1903).jpg,377
Karte_des_Deutschen_Reiches_-_378_-_Crefeld_(1901).jpg,378
Karte_des_Deutschen_Reiches_-_379_-_Elberfeld_(1901).jpg,379
Karte_des_Deutschen_Reiches_-_380_-_Iserlohn_(1901).jpg,380
Karte_des_Deutschen_Reiches_-_381_-_Arnsberg_(1902).jpg,381
Karte_des_Deutschen_Reiches_-_382_-_Brilon_(1904).jpg,382
Karte_des_Deutschen_Reiches_-_383_-_Arolsen.jpg,383
Karte_des_Deutschen_Reiches_-_402_-_Erkelenz_(1903).jpg,402
Karte_des_Deutschen_Reiches_-_403_-_Düsseldorf_(1901).jpg,403
Karte_des_Deutschen_Reiches_-_404_-_Solingen_(1901).jpg,404
Karte_des_Deutschen_Reiches_-_405_-_Lüdenscheid_(1903).jpg,405
Karte_des_Deutschen_Reiches_-_406_-_Attendorn_(1902).jpg,406
Karte_des_Deutschen_Reiches_-_407_-_Berleburg_(1913).jpg,407
Karte_des_Deutschen_Reiches_-_408_-_Fritzlar_(1911).jpg,408
Karte_des_Deutschen_Reiches_-_428_-_Aachen_(1903).jpg,428
Karte_des_Deutschen_Reiches_-_429_-_Düren_(1902).jpg,429
Karte_des_Deutschen_Reiches_-_430_-_Cöln_(1901).jpg,430
Karte_des_Deutschen_Reiches_-_431_-_Waldbröhl_(1901).jpg,431
Karte_des_Deutschen_Reiches_-_432_-_Siegen_(1904).jpg,432
Karte_des_Deutschen_Reiches_-_433_-_Marburg_(1911).jpg,433
Karte_des_Deutschen_Reiches_-_434_-_Ziegenhain_(1912).jpg,434
Karte_des_Deutschen_Reiches_-_571_Pirmasens_(1885).jpg,571
Karte_des_Deutschen_Reiches_-_572_-_Landau_(1886).jpg,572
Karte_des_Deutschen_Reiches_-_581_-_Cham_(1891).jpg,581
Karte_des_Deutschen_Reiches_-_602_-_Straßburg_(1886).jpg,602
Karte_des_Deutschen_Reiches_-_79a_-_Helgoland_(1893).jpg,79a
Karte_des_Deutschen_Reiches_-_Karte_des_Deutschen_Reiches_-_529_-_Lohr_(1906).png,529
